"fmcg_category","platform_name","product_name","date_miladi","date","cheapest_price"
"cosmetics-hygiene","Digikala","پوشینه بزرگسال هانی لایف مدل 002 سایز بزرگ بسته 14 عددی","2025-08-21","1404/05/30",400000
"cosmetics-hygiene","Digikala","دستمال توالت پاپیا مدل 4 لایه رولی بسته 24 عددی","2025-08-25","1404/06/03",615500
"cosmetics-hygiene","Digikala","دستمال توالت پاپیا مدل چهار لایه رولی بسته 16 عددی","2025-08-26","1404/06/04",419300
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ کیولین مدل اقتصادی بسته 8 عددی","2025-08-27","1404/06/05",676900
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ کیولین مدل اقتصادی بسته 8 عددی","2025-08-28","1404/06/06",676900
"cosmetics-hygiene","Digikala","شامپو بدون سولفات لافارر مدل کراتینه مناسب موهای رنگ شده حجم 200 میلی‌لیتر","2025-08-30","1404/06/08",630200
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ بی تا مدل Unique بسته 8 عددی","2025-08-31","1404/06/09",660480
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ کیولین مدل اقتصادی بسته 8 عددی","2025-09-02","1404/06/11",676900
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ کیولین مدل اقتصادی بسته 8 عددی","2025-09-04","1404/06/13",676900
"cosmetics-hygiene","Digikala","زعفران درجه یک مصطفوی - 0.5 گرم","2025-09-05","1404/06/14",98000
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ بی تا مدل Unique بسته 8 عددی","2025-09-08","1404/06/17",660480
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ کیولین مدل اقتصادی بسته 8 عددی","2025-09-09","1404/06/18",676900
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ کیولین مدل اقتصادی بسته 8 عددی","2025-09-11","1404/06/20",676900
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ کیولین مدل اقتصادی بسته 8 عددی","2025-09-13","1404/06/22",676900
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ کیولین مدل اقتصادی بسته 8 عددی","2025-09-14","1404/06/23",676900
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ کیولین مدل اقتصادی بسته 8 عددی","2025-09-15","1404/06/24",676900
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ بی تا مدل Unique بسته 8 عددی","2025-09-16","1404/06/25",660480
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ بی تا مدل Unique بسته 8 عددی","2025-09-17","1404/06/26",660480
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ بی تا مدل Unique بسته 8 عددی","2025-09-18","1404/06/27",660480
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ کیولین مدل اقتصادی بسته 8 عددی","2025-09-20","1404/06/29",676900
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ کیولین مدل اقتصادی بسته 8 عددی","2025-09-21","1404/06/30",676900
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ کیولین مدل اقتصادی بسته 8 عددی","2025-09-22","1404/06/31",676900
"dairy","Digikala","پنیر پیتزا مطهر - 2 کیلوگرم","2025-08-13","1404/05/22",1055000
"dairy","Digikala","پنیر پیتزا موزارلا رنده شده پرچرب دالیا مقدار 2000 گرم","2025-08-16","1404/05/25",995000
"dairy","Digikala","پنیر پیتزا موزارلا رنده شده پرچرب دالیا مقدار 2000 گرم","2025-08-17","1404/05/26",995000
"dairy","Digikala","پنیر پیتزا موزارلا رنده شده پرچرب دالیا مقدار 2000 گرم","2025-08-18","1404/05/27",995000
"dairy","Digikala","پنیر پیتزا مطهر - 2 کیلوگرم","2025-08-19","1404/05/28",1055000
"dairy","Digikala","پنیر پیتزا مطهر - 1 کیلوگرم","2025-08-20","1404/05/29",429000
"dairy","Digikala","پنیر پیتزا رنده شده موزارلا شه وین - 1000 گرم","2025-08-21","1404/05/30",470000
"dairy","Digikala","پنیر تایپینگ رنده شده پیتزا مارتا - 2000 گرم","2025-08-25","1404/06/03",1008780
"dairy","Digikala","پنیر پیتزا موزارلا شه وین - 2 کیلوگرم","2025-08-26","1404/06/04",494000
"dairy","Digikala","پنیر پیتزا مطهر - 2 کیلوگرم","2025-08-27","1404/06/05",1055000
"dairy","Digikala","پنیر پیتزا مطهر - 2 کیلوگرم","2025-08-28","1404/06/06",1055000
"dairy","Digikala","پنیر تایپینگ رنده شده پیتزا مارتا - 2000 گرم","2025-08-30","1404/06/08",1008780
"dairy","Digikala","پنیر پیتزا موزارلا رنده شده پرچرب دالیا مقدار 2000 گرم","2025-08-31","1404/06/09",945250
"dairy","Digikala","پنیر پیتزا مطهر - 2 کیلوگرم","2025-09-02","1404/06/11",1055000
"dairy","Digikala","پنیر پیتزا مطهر - 2 کیلوگرم","2025-09-03","1404/06/12",1055000
"dairy","Digikala","پنیر پیتزا مطهر - 2 کیلوگرم","2025-09-04","1404/06/13",1055000
"dairy","Digikala","زعفران درجه یک مصطفوی - 0.5 گرم","2025-09-05","1404/06/14",98000
"dairy","Digikala","پنیر پیتزا موزارلا رنده شده پرچرب دالیا مقدار 2000 گرم","2025-09-08","1404/06/17",945250
"dairy","Digikala","پنیر پیتزا مطهر - 2 کیلوگرم","2025-09-09","1404/06/18",1055000
"dairy","Digikala","پنیر پیتزا مطهر - 2 کیلوگرم","2025-09-11","1404/06/20",1055000
"dairy","Digikala","پنیر پیتزا موزارلا رنده شده پرچرب دالیا مقدار 2000 گرم","2025-09-13","1404/06/22",945250
"dairy","Digikala","پنیر پیتزا موزارلا رنده شده پرچرب دالیا مقدار 2000 گرم","2025-09-14","1404/06/23",945250
"dairy","Digikala","پنیر پیتزا موزارلا رنده شده پرچرب دالیا مقدار 2000 گرم","2025-09-15","1404/06/24",945250
"dairy","Digikala","پنیر پیتزا مطهر - 2 کیلوگرم","2025-09-16","1404/06/25",1055000
"dairy","Digikala","پنیر پیتزا مطهر - 2 کیلوگرم","2025-09-17","1404/06/26",1055000
"dairy","Digikala","پنیر پیتزا مطهر - 2 کیلوگرم","2025-09-18","1404/06/27",1055000
"dairy","Digikala","پنیر پیتزا موزارلا رنده شده پرچرب دالیا مقدار 2000 گرم","2025-09-20","1404/06/29",945250
