"fmcg_category","platform_name","date_miladi","date","avg_price"
"junk-food","Digikala","2025-09-05","1404/06/14","98000.000000000000"
"junk-food","Digikala","2025-09-08","1404/06/17","60000.000000000000"
"junk-food","Digikala","2025-09-09","1404/06/18","60000.000000000000"
"junk-food","Digikala","2025-09-11","1404/06/20","60000.000000000000"
"junk-food","Digikala","2025-09-13","1404/06/22","60000.000000000000"
"junk-food","Digikala","2025-09-14","1404/06/23","60000.000000000000"
"junk-food","Digikala","2025-09-15","1404/06/24","60000.000000000000"
"junk-food","Digikala","2025-09-16","1404/06/25","60000.000000000000"
"junk-food","Digikala","2025-09-17","1404/06/26","127070.000000000000"
"junk-food","Digikala","2025-09-18","1404/06/27","127070.000000000000"
"junk-food","Digikala","2025-09-20","1404/06/29","127070.000000000000"
"junk-food","Digikala","2025-09-21","1404/06/30","127070.000000000000"
"junk-food","Digikala","2025-09-22","1404/06/31","127070.000000000000"
"nuts","Digikala","2025-08-13","1404/05/22","210000.000000000000"
"nuts","Digikala","2025-08-16","1404/05/25","225000.000000000000"
"nuts","Digikala","2025-08-17","1404/05/26","140000.000000000000"
"nuts","Digikala","2025-08-18","1404/05/27","140000.000000000000"
"nuts","Digikala","2025-08-19","1404/05/28","249000.000000000000"
"nuts","Digikala","2025-08-20","1404/05/29","171500.000000000000"
"nuts","Digikala","2025-08-21","1404/05/30","320000.000000000000"
"nuts","Digikala","2025-08-25","1404/06/03","189500.000000000000"
"nuts","Digikala","2025-08-26","1404/06/04","320000.000000000000"
"nuts","Digikala","2025-08-27","1404/06/05","189500.000000000000"
"nuts","Digikala","2025-08-28","1404/06/06","142120.000000000000"
"nuts","Digikala","2025-08-30","1404/06/08","189500.000000000000"
"nuts","Digikala","2025-08-31","1404/06/09","389000.000000000000"
"nuts","Digikala","2025-09-02","1404/06/11","189500.000000000000"
"nuts","Digikala","2025-09-03","1404/06/12","389000.000000000000"
"nuts","Digikala","2025-09-04","1404/06/13","389000.000000000000"
"nuts","Digikala","2025-09-05","1404/06/14","98000.000000000000"
"nuts","Digikala","2025-09-08","1404/06/17","389000.000000000000"
"nuts","Digikala","2025-09-09","1404/06/18","389000.000000000000"
"nuts","Digikala","2025-09-11","1404/06/20","189500.000000000000"
"nuts","Digikala","2025-09-13","1404/06/22","389000.000000000000"
"nuts","Digikala","2025-09-14","1404/06/23","189500.000000000000"
"nuts","Digikala","2025-09-15","1404/06/24","389000.000000000000"
